kata,ipa
antropomorfisme,antropomorfismə
mendayungkan,məndajuŋkan
meneliti,mənəliti
inovasi,inovasi
bakteriologi,baʔteriologi
canai,tʃanai
pencolengan,pəntʃoleŋan
kolonialisme,kolonialismə
benjolan,bendʒolan
mancung,mantʃuŋ
diapositif,diapositif
kedamaian,kədamaian
gegaran,gəgaran
kemauan,kəmauan
secanggih,sətʃaŋgih
menggunung,məŋgunuŋ
mengaus,məŋaus
siklus,siʔlus
pembiayaan,pəmbiajaʔan
plang,plaŋ
anakmu,anaʔmu
menggagalkan,məŋgagalkan
menggelegak,məŋgələgaʔ
celekeh,tʃəlekeh
malam,malam
berjanji,bərdʒandʒi
tersaji,tərsadʒi
kementam,kəməntam
strategi,strategi
curna,tʃurna
kesih,kəsih
pedupaan,pədupaʔan
deris,dəris
membahasakan,məmbahasakan
berwawasan,bərwawasan
segmen,segmen
disangsikan,disaŋsikan
bermegah,bərməgah
ciak,tʃiaʔ
kukus,kukus
betari,bətari
damprat,damprat
bercemar,bərtʃəmar
bangir,baŋir
keuzuran,kəuzuran
protein,protein
simultan,simultan
sungkur,suŋkur
merawan,mərawan
dialek,dialeʔ
berjarak,bərdʒaraʔ
cakar,tʃakar
termakan,tərmakan
mengemas,məŋəmas
amanah,amanah
bahwasanya,bahwasaɲa
berantukan,bərantukan
sanjak,sandʒaʔ
serati,sərati
memikat,məmikat
monolitik,monolitiʔ
kelati,kəlati
pembening,pəmbəniŋ
basket,basket
setung,sətuŋ
peterana,pətərana
bersabar,bərsabar
ratah,ratah
tungkus,tuŋkus
sulah,sulah
nasi,nasi
bertemperamen,bərtempəramen
mampu,mampu
mempercakap,məmpərtʃakap
maling,maliŋ
penggerak,pəŋgəraʔ
sekelompok,səkəlompoʔ
kerabik,kərabiʔ
diluncurkan,diluntʃurkan
bakung,bakuŋ
cerun,tʃərun
dadung,daduŋ
sesuka,səsuka
gingsir,giŋsir
bengal,bəŋal
menghapus,məŋhapus
berkemah,bərkemah
undang undang,undaŋ-undaŋ
mengasap,məŋasap
kelas,kəlas
keberanian,kəbəranian
ubat,ubat
pasak,pasaʔ
anafrodisiak,anafrodisiaʔ
tadahan,tadahan
akuan,akuan
terpekik,tərpəkiʔ
normal,normal
antarbangsa,antarbaŋsa
akhbar,aʔhbar
keributan,kəributan
nisan,nisan
anduhan,anduhan
amnesti,amnesti
penak,penaʔ
pikir,pikir
khabar,ʔhabar
beraset,bəraset
tadah,tadah
lidahku,lidahku
menjumput,məndʒumput
jadi,dʒadi
menyunati,məɲunati
membadai,məmbadai
pencak,pəntʃaʔ
asetat,asətat
kecuraman,kətʃuraman
siksa,siʔsa
berkeledar,bərkəledar
membaur,məmbaur
menyaringkan,məɲariŋkan
dibanggakan,dibaŋgakan
pembestralan,pəmbəstralan
mengejar,məŋədʒar
pemohon,pəmohon
belot,belot
gelas,gəlas
bu,bu
berderingan,bərdəriŋan
dwiperan,dwipəran
terbelangah,tərbəlaŋah
padamu,padamu
melengkapkan,mələŋkapkan
lebai,ləbai
bersangkut,bərsaŋkut
kutang,kutaŋ
pendarat,pəndarat
berargumen,bərargumen
oral,oral
amnesia,amnesia
cacingan,tʃatʃiŋan
barakat,barakat
nyanyian,ɲaɲian
melurus,məlurus
bodoh,bodoh
pengabdian,pəŋabdian
dogdog,dogdog
cemani,tʃəmani
ringgit,riŋgit
eja,edʒa
membelalakkan,məmbəlalaʔkan
berbintang,bərbintaŋ
encik,əntʃiʔ
pawagam,pawagam
menyebut,məɲəbut
menyerah,məɲərah
gelinding,gəlindiŋ
biut,biut
gurumu,gurumu
kemacetan,kəmatʃətan
beroperasi,bəropərasi
senak,sənaʔ
semawang,səmawaŋ
tip,tip
bersut,bərsut
antropologi,antropologi
menghantam,məŋhantam
gemar,gəmar
merangka,məraŋka
petrografi,petrografi
lupakan,lupakan
wasir,wasir
petenung,pətənuŋ
korban,korban
adik,adiʔ
paip,paip
masanya,masaɲa
ancaman,antʃaman
pembaitan,pəmbaitan
transit,transit
membahu,məmbahu
kandas,kandas
birai,birai
pembibitan,pəmbibitan
angpau,aŋpau
menyudahkan,məɲudahkan
sampai,sampai
belian,bəlian
mendaduh,məndaduh
kampungnya,kampuŋɲa
mencacakkan,məntʃatʃaʔkan
dingin,diŋin
cepal,tʃəpal
menyolok,məɲoloʔ
membandarkan,məmbandarkan
mempersatukan,məmpərsatukan
anakan,anakan
pelancar,pəlantʃar
bersuluh,bərsuluh
pekis,pəkis
inas,inas
lebat,ləbat
mencagun,məntʃagun
episode,episodə
sungai,suŋai
dimakan,dimakan
bakelit,bakəlit
cokek,tʃokeʔ
terikat,tərikat
mencabar,məntʃabar
abisal,abisal
ampuk,ampuʔ
antariksawati,antariʔsawati
penumpangan,pənumpaŋan
penyerang,pəɲəraŋ
majemuk,madʒəmuʔ
ayanda,ajanda
dobol,dobol
disposisi,disposisi
dambir,dambir
ranggung,raŋguŋ
mempan,məmpan
kerosong,kərosoŋ
epilepsi,epilepsi
menjepit,məndʒəpit
buktinya,buʔtiɲa
melestarikan,mələstarikan
peribadi,pəribadi
awang,awaŋ
tertempuh,tərtəmpuh
kilogram,kilogram
besel,bəsəl
sulungnya,suluŋɲa
tergila,tərgila
kesejukan,kəsədʒukan
pendepositoan,pəndepositoan
nibung,nibuŋ
lecur,lətʃur
resipien,resipien
cerocos,tʃərotʃos
penghalusan,pəŋhalusan
persepuluhan,pərsəpuluhan
kerasnya,kərasɲa
menceti,məntʃeti
diulurkan,diulurkan
referensi,refərensi
menyertai,məɲərtai
deruman,dəruman
berlilitkan,bərlilitkan
laksa,laʔsa
piksel,piʔsəl
siarkan,siarkan
benggol,beŋgol
membobol,məmbobol
uban,uban
bagong,bagoŋ
partisipasi,partisipasi
melekat,mələkat
humor,humor
kuk,kuʔ
hadirin,hadirin
suap,suap
membaui,məmbaui
pendamai,pəndamai
tamatan,tamatan
bemo,bemo
mengesampingkan,məŋəsampiŋkan
membelasah,məmbəlasah
mendeponir,məndeponir
imajinasi,imadʒinasi
melepasi,mələpasi
persegeraan,pərsəgəraʔan
bonto,bonto
bersempadankan,bərsəmpadankan
dijamu,didʒamu
peningset,pəniŋsət
disinsentif,disinsentif
lepasan,ləpasan
bermanfaat,bərmanfaʔat
sengau,səŋau
perestroika,perestroika
pendobrak,pəndobraʔ
menebuk,mənəbuʔ
terkepil,tərkəpil
musang,musaŋ
patriotisme,patriotismə
proletar,prolətar
persenjataan,pərsəndʒataʔan
pembangkang,pəmbaŋkaŋ
tabib,tabib
finalis,finalis
selui,səlui
bulang,bulaŋ
sengsurit,səŋsurit
cemat,tʃəmat
nasional,nasional
jujuran,dʒudʒuran
ibarat,ibarat
dadu,dadu
degung,dəguŋ
langka,laŋka
dersana,dərsana
cengeng,tʃeŋeŋ
kerampang,kərampaŋ
serana,sərana
mengantari,məŋantari
ekspedisi,eʔspədisi
mencantolkan,məntʃantolkan
sekon,səkon
buai,buai
berpelesir,bərpələsir
gerontologi,gerontologi
polusi,polusi
demokratisasi,demoʔratisasi
menyepel,məɲəpel
pemunculan,pəmuntʃulan
pembanding,pəmbandiŋ
ditinjau,ditindʒau
ton,ton
lorong,loroŋ
pengisap,pəŋisap
pengharaman,pəŋharaman
safari,safari
kecerobohan,kətʃərobohan
miring,miriŋ
menimba,mənimba
disjoki,disdʒoki
menyengih,məɲəŋih
ditutupi,ditutupi
habis,habis
tercantik,tərtʃantiʔ
penebasan,pənəbasan
menghidap,məŋhidap
menandu,mənandu
kunyah,kuɲah
godaan,godaʔan
terjajah,tərdʒadʒah
persik,persiʔ
mendamak,məndamaʔ
menyemut,məɲəmut
penoreh,pənoreh
beluas,bəluas
import,import
bercengkung,bərtʃəŋkuŋ
suat,suat
selongsong,səloŋsoŋ
digulingkan,diguliŋkan
prancis,prantʃis
syarak,sjaraʔ
menjelimet,məndʒəlimət
dangkalan,daŋkalan
memperketat,məmpərkətat
kerumun,kərumun
kedik,kədiʔ
membudidayakan,məmbudidajakan
sedu,sədu
inaugurasi,inaugurasi
penyelam,pəɲəlam
mancanegara,mantʃanəgara
dilewatkan,dilewatkan
pendinamis,pəndinamis
yang,jaŋ
bentik,bəntiʔ
gembreng,gəmbreŋ
mengkali,məŋkali
penghadangan,pəŋhadaŋan
selentingan,sələntiŋan
bindu,bindu
tenusu,tənusu
mempersengketakan,məmpərsəŋketakan
dukacita,dukatʃita
memadai,məmadai
sebatan,səbatan
zodiak,zodiaʔ
nyetel,ɲətel
seperjuangan,səpərdʒuaŋan
menggelengkan,məŋgeleŋkan
tinju,tindʒu
materialis,materialis
dihidang,dihidaŋ
delap,dəlap
lambang,lambaŋ
cunam,tʃunam
kepuasan,kəpuasan
apostrof,apostrof
bersekedudukan,bərsəkədudukan
dipasang,dipasaŋ
trem,trem
dermawan,dərmawan
sekala,səkala
menyaring,məɲariŋ
perajin,pəradʒin
sewal,sewal
bajak,badʒaʔ
ungkit,uŋkit
perbedaan,pərbedaʔan
reruntuhan,rəruntuhan
elektrokimia,eleʔtrokimia
anjlok,andʒloʔ
manah,manah
sembat,sembat
putat,putat
palem,paləm
memeper,məmeper
bersambat,bərsambat
kebayuan,kəbajuan
diajari,diadʒari
dulur,dulur
pelapor,pəlapor
mengalihkan,məŋalihkan
dakocan,dakotʃan
beriring,bəririŋ
mencalarkan,məntʃalarkan
alaikum,alaikum
bagaikan,bagaikan
personal,pərsonal
tersentil,tərsəntil
mengercitkan,məŋərtʃitkan
wakaf,wakaf
kesenjataan,kəsəndʒataʔan
tahan,tahan
mala,mala
muat,muat
kehadiran,kəhadiran
megah,məgah
kanalisasi,kanalisasi
instansi,instansi
fungisida,fuŋisida
menyelubungi,məɲəlubuŋi
mengelon,məŋəlon
kebijakan,kəbidʒakan
godok,godoʔ
meyakinkan,məjakinkan
keruwetan,kəruwətan
penetapan,pənətapan
muak,muaʔ
meliwis,məliwis
mengelepik,məŋələpiʔ
selut,səlut
ceritaan,tʃəritaʔan
banal,banal
kesenjaan,kəsəndʒaʔan
mendengking,məndəŋkiŋ
seismogram,seismogram
umpuk,umpuʔ
pengambrukan,pəŋambrukan
disebut,disəbut
penunda,pənunda
ceritera,tʃəritəra
metalik,metaliʔ
sogokan,sogokan
indung,induŋ
ekar,əkar
sinergi,sinergi
mempermainkan,məmpərmainkan
angkel,aŋkel
seteleng,səteleŋ
alingan,aliŋan
gerik,gəriʔ
gigihnya,gigihɲa
pemerosotan,pəmərosotan
piala,piala
keropos,kəropos
menyetrum,məɲətrum
pertalian,pərtalian
budu,budu
purnakaryawan,purnakarjawan
mengamangi,məŋamaŋi
tengkurap,təŋkurap
ujungnya,udʒuŋɲa
ruwat,ruwat
terkelap,tərkəlap
barulah,barulah
kekecutan,kəkətʃutan
teklok,teʔloʔ
tendensius,tendensius
kebebangan,kəbəbaŋan
mencancang,məntʃantʃaŋ
naungan,nauŋan
bicu,bitʃu
cerpenis,tʃərpenis
begundal,bəgundal
kriteria,ʔriteria
dorang,doraŋ
antartika,antartika
perkerisan,pərkərisan
teks,teʔs
terpeluk,tərpəluʔ
cek,tʃeʔ
silu,silu
serangkaian,səraŋkaian
kerabat,kərabat
murad,murad
tentera,təntəra
meladeni,məladeni
selasih,səlasih
lawang,lawaŋ
kercing,kərtʃiŋ
alergi,alergi
membelenggu,məmbələŋgu
karet,karet
penebangan,pənəbaŋan
fail,fail
mengkerang,məŋkəraŋ
homoseksualitas,homoseʔsualitas
eliksir,eliʔsir
angankan,aŋankan
memuji,məmudʒi
perusak,pərusaʔ
radio,radio
selesa,səlesa
melepas,mələpas
berselepat,bərsələpat
macet,matʃət
brana,brana
buas,buas
sepeling,səpeliŋ
anakronistis,anaʔronistis
munajat,munadʒat
tabuhan,tabuhan
brander,brandər
membelinya,məmbəliɲa
suruhan,suruhan
menegaskan,mənəgaskan
melicinkan,məlitʃinkan
dijatuhi,didʒatuhi
arah,arah
kericuhan,kəritʃuhan
damas,damas
kha,ʔha
zebra,zebra
menyelingkan,məɲəliŋkan
keserempet,kəsərempet
mengukirkan,məŋukirkan
menendang,mənəndaŋ
ceking,tʃəkiŋ
pegon,pegon
cabutan,tʃabutan
bandang,bandaŋ
bonda,bonda
kenas,kənas
persawahan,pərsawahan
berwenang,bərwənaŋ
onani,onani
merapati,mərapati
alif ba ta,alif-ba-ta
rakaat,rakaʔat
taubat,taubat
jodoh,dʒodoh
bapak,bapaʔ
kelengar,kələŋar
lainan,lainan
aco,atʃo
memperedarkan,məmpəredarkan
seiring,səiriŋ
soko,soko
penceraian,pəntʃəraian
mendaun,məndaun
kampungan,kampuŋan
merahasiakan,mərahasiakan
bardi,bardi
tergiur,tərgiur
menyeronokkan,məɲəronoʔkan
membatasi,məmbatasi
pipinya,pipiɲa
serandau,sərandau
kep,kep
kedoyanan,kədojanan
mendesus,məndəsus
tanak,tanaʔ
kepenuhan,kəpənuhan
klenik,ʔləniʔ
mengalup,məŋalup
kedekut,kədəkut
kerjasama,kərdʒasama
mencelup,məntʃəlup
perhentian,pərhəntian
turnamen,turnamen
tajuk,tadʒuʔ
debung,dəbuŋ
keluangsa,kəluaŋsa
termakbul,tərmaʔbul
masukan,masukan
pediatri,pediatri
anggapan,aŋgapan
benaran,bənaran
mencangak,məntʃaŋaʔ
pengencangan,pəŋəntʃaŋan
dugdeng,dugdeŋ
menyerbuk,məɲərbuʔ
tempatnya,təmpatɲa
bantingan,bantiŋan
pedesaan,pədesaʔan
pupuk,pupuʔ
destruksi,destruʔsi
menubruk,mənubruʔ
menempelak,mənəmpəlaʔ
berus,bərus
arih,arih
kirmizi,kirmizi
menelusuri,mənəlusuri
kemajuannya,kəmadʒuanɲa
berderap,bərdərap
berpintu,bərpintu
stimulasi,stimulasi
menggemparkan,məŋgəmparkan
agnostisisme,agnostisismə
mendayung,məndajuŋ
ibaratkan,ibaratkan
jika,dʒika
searti,səarti
alternasi,altərnasi
bobrok,bobroʔ
berhibur,bərhibur
penelahan,pənəlahan
mengutip,məŋutip
dihentikan,dihəntikan
mengerlip,məŋərlip
berputar,bərputar
selesai,sələsai
bekerdom,bəkərdom
wisata,wisata
menggetarkan,məŋgətarkan
menyudahi,məɲudahi
kebaruan,kəbaruan
ditebuk,ditəbuʔ
mengusulkan,məŋusulkan
kedul,kədul
paham,paham
peresih,pərəsih
pakaiannya,pakaianɲa
nuklir,nuʔlir
mengurangi,məŋuraŋi
kasa,kasa
mengerit,məŋərit
menggergaji,məŋgərgadʒi
perawatan,pərawatan
dampar,dampar
babad,babad
beri,bəri
kesenakan,kəsənakan
ditempatkan,ditəmpatkan
mu jizat,muʔdʒizat
memagut,məmagut
negerinya,nəgəriɲa
pemboyongan,pəmbojoŋan
ratifikasi,ratifikasi
kontaminasi,kontaminasi
anakronisme,anaʔronismə
dihadap,dihadap
kebohongan,kəbohoŋan
tinggi,tiŋgi
seleguri,sələguri
kopling,kopliŋ
adiluhung,adiluhuŋ
hantu,hantu
tenggorok,təŋgoroʔ
taplak,taplaʔ
bersesat,bərsəsat
kuman,kuman
kelahirannya,kəlahiranɲa
perbentaran,pərbentaran
sarungnya,saruŋɲa
au,au
tergulung,tərguluŋ
pemungutan,pəmuŋutan
mengebon,məŋəbon
menghebahkan,məŋhebahkan
perbekalan,pərbəkalan
pengganas,pəŋganas
menyepikan,məɲəpikan
mencekik,məntʃəkiʔ
ditanya,ditaɲa
sekaya,səkaja
dekatan,dəkatan
beruntun,bəruntun
menandaskan,mənandaskan
gerutu,gərutu
menyemburkan,məɲəmburkan
hangit,haŋit
mendapa,məndapa
bercalar,bərtʃalar
menconet,məntʃonet
dituangkan,dituaŋkan
telefon,teləfon
peringgi,pəriŋgi
rantau,rantau
menginsafi,məŋinsafi
jerang,dʒəraŋ
derman,dərman
mempererat,məmpərərat
dipimpin,dipimpin
berdukung,bərdukuŋ
menyayangi,məɲajaŋi
berdadung,bərdaduŋ
perversi,perversi
pelestarian,pələstarian
lampunya,lampuɲa
latihan,latihan
menyisakan,məɲisakan
nun,nun
diaturnya,diaturɲa
paksaan,paʔsaʔan
hayat,hajat
perantauan,pərantauan
linggis,liŋgis
mami,mami
kuadran,kuadran
beladau,bəladau
sekoci,səkotʃi
panduan,panduan
lali,lali
perenyak,pərəɲaʔ
ultrasonik,ultrasoniʔ
pesta,pesta
bening,bəniŋ
wasiat,wasiat
gitaris,gitaris
munafik,munafiʔ
pembuatan,pəmbuatan
terpaksa,tərpaʔsa
menyedekahi,məɲədəkahi
maggi,maggi
kursus,kursus
keculasan,kətʃulasan
memeruk,məməruʔ
dadar,dadar
paleontologi,paleontologi
mencerocos,məntʃərotʃos
temui,təmui
sewa,sewa
rundung,runduŋ
kelulu,kəlulu
relung,rəluŋ
selendangnya,səlendaŋɲa
selamat,səlamat
menyelimpat,məɲəlimpat
pelamar,pəlamar
lodeh,lodeh
disayangi,disajaŋi
berakibatkan,bərakibatkan
diftong,diftoŋ
gelimpang,gəlimpaŋ
onar,onar
bainah,bainah
peringgitan,pəriŋgitan
berperawakan,bərpərawakan
setem,sətem
beranakkan,bəranaʔkan
andalan,andalan
hidung,hiduŋ
tulang,tulaŋ
gumpalan,gumpalan
terpelecok,tərpəletʃoʔ
pelari,pəlari
keartisan,kəartisan
mencelengi,məntʃeleŋi
steril,steril
dusta,dusta
lamun,lamun
pelahan,pəlahan
seriding,səridiŋ
meninjau,mənindʒau
banderol,bandərol
telingkah,təliŋkah
berkesempatan,bərkəsəmpatan
kalang,kalaŋ
menur,mənur
bertumpu,bərtumpu
alurnya,alurɲa
kista,kista
angop,aŋop
serombong,səromboŋ
pelampau,pəlampau
terangkat,təraŋkat
bungkus,buŋkus
keberaksaraan,kəbəraʔsaraʔan
merompak,mərompaʔ
menandai,mənandai
berhimpun,bərhimpun
kecundang,kətʃundaŋ
baling,baliŋ
tercuar,tərtʃuar
penjinak,pəndʒinaʔ
kemantapan,kəmantapan
menonton,mənonton
membawa,məmbawa
tersasar,tərsasar
mistik,mistiʔ
bersedekap,bərsədəkap
rasisme,rasismə
management,managəmənt
daerahisme,daerahismə
sambil,sambil
abdikasi,abdikasi
melingkar,məliŋkar
mengebumikan,məŋəbumikan
pikirannya,pikiranɲa
mencengam,məntʃəŋam
bulanan,bulanan
trik,triʔ
menyelia,məɲəlia
sanak,sanaʔ
telangkup,təlaŋkup
terbau,tərbau
kedot,kədot
peristilahan,pəristilahan
perizinan,pərizinan
angkal,aŋkal
diborong,diboroŋ
terongko,təroŋko
pelayanan,pəlajanan
gubrisan,gubrisan
bahagia,bahagia
peninggalannya,pəniŋgalanɲa
siasah,siasah
abus,abus
manipulator,manipulator
politikus,politikus
lolos,lolos
susunan,susunan
mencolong,məntʃoloŋ
pergolakan,pərgolakan
belengkok,bəleŋkoʔ
isolasi,isolasi
antariksa,antariʔsa
mode,modə
mayor,major
antarkelompok,antarkəlompoʔ
portret,portret
berpengaruh,bərpəŋaruh
timbunan,timbunan
kesayupan,kəsajupan
peralihan,pəralihan
selempada,sələmpada
mendongkol,məndoŋkol
cah,tʃah
aria,aria
antijasad,antidʒasad
pengecualian,pəŋətʃualian
berdagang,bərdagaŋ
menyengit,məɲəŋit
terajam,təradʒam
pengatur,pəŋatur
perlina,pərlina
bendoro,bəndoro
didekati,didəkati
bisinosis,bisinosis
abuh,abuh
membedol,məmbədol
pendaulat,pəndaulat
perjuangan,pərdʒuaŋan
pengharapan,pəŋharapan
minggat,miŋgat
terowong,tərowoŋ
cedera,tʃədəra
anoreksia,anoreʔsia
untuknya,untuʔɲa
politik,politiʔ
kemegahan,kəməgahan
perkolasi,perkolasi
cerah,tʃərah
pelantik,pəlantiʔ
menyentakkan,məɲəntaʔkan
keakuratan,kəakuratan
mengalit,məŋalit
cengbeng,tʃeŋbeŋ
selayun,səlajun
menambalkan,mənambalkan
perasingan,pərasiŋan
kependetaan,kəpəndetaʔan
negarawan,nəgarawan
sepah,səpah
puak,puaʔ
kian,kian
tercalar,tərtʃalar
ubun,ubun
picu,pitʃu
ai,ai
aspirat,aspirat
mengarsipkan,məŋarsipkan
terwelu,tərwelu
mendesak,məndəsaʔ
emanasi,emanasi
bacem,batʃəm
tantang,tantaŋ
ronggeng,roŋgeŋ
nasionalisasi,nasionalisasi
laik,laiʔ
dimulai,dimulai
proyektil,projeʔtil
merobek,mərobeʔ
menceruk,məntʃəruʔ
meriah,məriah
membengkokkan,məmbeŋkoʔkan
besar,bəsar
mengelibat,məŋəlibat
sentiare,sentiarə
anonimitas,anonimitas
pergantian,pərgantian
belo on,bəloʔon
membeku,məmbəku
keron,kəron
tersenggol,tərseŋgol
meski,məski
cakup,tʃakup
merah,merah
cicak,tʃitʃaʔ
pemboros,pəmboros
sepen,səpen
kapitan,kapitan
kerneli,kərneli
bertengking,bərtəŋkiŋ
merangu,məraŋu
tunai,tunai
membuncahkan,məmbuntʃahkan
sajian,sadʒian
mencuri,məntʃuri
macam,matʃam
kesemua,kəsəmua
muktamad,muʔtamad
pelanjutan,pəlandʒutan
menuju,mənudʒu
menghitam,məŋhitam
mengarit,məŋarit
larang,laraŋ
deguk,dəguʔ
kekenyangan,kəkəɲaŋan
butarepan,butarəpan
penduduknya,pənduduʔɲa
kampung,kampuŋ
agregasi,agregasi
calir,tʃalir
ensiklik,ensiʔliʔ
jaminan,dʒaminan
bepercikan,bəpərtʃikan
setela,sətela
keberterimaan,kəbərtərimaʔan
keonaran,kəonaran
dipotret,dipotret
muka,muka
menyenandungkan,məɲənanduŋkan
haba,haba
enggak,əŋgaʔ
acan,atʃan
sinetron,sinetron
mengarifi,məŋarifi
memperdewa,məmpərdewa
audi,audi
mencebur,məntʃəbur
kelenggara,kələŋgara
keparat,kəparat
pengayom,pəŋajom
peda,pəda
bersidahulu,bərsidahulu
capjiki,tʃapdʒiki
meredah,mərədah
kelebut,kələbut
denyar,dəɲar
mengedau,məŋədau
berjemur,bərdʒəmur
kontrak,kontraʔ
pesing,pəsiŋ
fonetik,fonetiʔ
memengkol,məmeŋkol
buntung,buntuŋ
kecemerlangan,kətʃəmərlaŋan
pelangi,pəlaŋi
mencaplok,məntʃaploʔ
pengaduk,pəŋaduʔ
oportunis,oportunis
abstraksi,abstraʔsi
mengganjal,məŋgandʒal
merasai,mərasai
beranjak,bərandʒaʔ
peranggu,pəraŋgu
kapitalistis,kapitalistis
kelinci,kəlintʃi
spionase,spionasə
firdaus,firdaus
sufi,sufi
bertanduk,bərtanduʔ
kudu,kudu
dirayakan,dirajakan
radiator,radiator
kelekan,kelekan
korelasi,korelasi
meninggal,məniŋgal
dalamnya,dalamɲa
kegagahan,kəgagahan
memamah,məmamah
penampakan,pənampakan
ceremai,tʃərəmai
kurap,kurap
sakarin,sakarin
situasi,situasi
demagog,demagog
bancet,bantʃet
menadah,mənadah
percuma,pərtʃuma
terkereseng,tərkəreseŋ
diajak,diadʒaʔ
totalitas,totalitas
merugikan,mərugikan
goncang,gontʃaŋ
mengunyah,məŋuɲah
serbuan,sərbuan
bopong,bopoŋ
bertelepuk,bərtələpuʔ
studinya,studiɲa
titipan,titipan
eksogen,eʔsogen
aho,aho
infrastruktur,infrastruʔtur
sendel,sendel
kedek,kedeʔ
pengangguk,pəŋaŋguʔ
mencorongkan,məntʃoroŋkan
membangkit,məmbaŋkit
menggunakan,məŋgunakan
segumpal,səgumpal
sini,sini
congeh,tʃoŋeh
cengis,tʃəŋis
selumbat,səlumbat
dimaksud,dimaʔsud
celengan,tʃeleŋan
meneduh,mənəduh
tempel,tempel
individualisme,individualismə
pengucapan,pəŋutʃapan
ais,ais
kala,kala
halaman,halaman
kasir,kasir
berdukacita,bərdukatʃita
cika,tʃika
berjalin,bərdʒalin
amalan,amalan
usungan,usuŋan
distrik,distriʔ
ampere,amperə
menguning,məŋuniŋ
cina,tʃina
dakron,daʔron
banglas,baŋlas
mengabstrakkan,məŋabstraʔkan
pilot,pilot
kelompang,kəlompaŋ
gasak,gasaʔ
cegar,tʃəgar
kebagusan,kəbagusan
nyamuk,ɲamuʔ
tunda,tunda
mengeluarkan,məŋəluarkan
penghijauan,pəŋhidʒauan
disematkan,disəmatkan
pereh,pereh
resmi,rəsmi
minit,minit
peni,peni
rasanya,rasaɲa
belau,bəlau
berkeluyuran,bərkəlujuran
seter,səter
rengas,rəŋas
ketiganya,kətigaɲa
dicanangkan,ditʃanaŋkan
kerangka,kəraŋka
kacuk,katʃuʔ
stor,stor
kontrolir,kontrolir
dubalang,dubalaŋ
dahagi,dahagi
perbendaan,pərbəndaʔan
asas,asas
terseberang,tərsəbəraŋ
pensiunan,pensiunan
menggembala,məŋgəmbala
melipat,məlipat
supremasi,supremasi
perkayuan,pərkajuan
kawakan,kawakan
memeluk,məməluʔ
kemestian,kəməstian
kelanjar,kəlandʒar
membusa,məmbusa
martil,martil
curian,tʃurian
pepsin,pepsin
lapor,lapor
pembayang,pəmbajaŋ
dihajar,dihadʒar
keteter,kəteter
pendramaan,pəndramaʔan
ceratan,tʃəratan
tungging,tuŋgiŋ
katalog,katalog
ahmar,ahmar
abian,abian
gagap,gagap
kelahiran,kəlahiran
absorptif,absorptif
petunjuk,pətundʒuʔ
emang,əmaŋ
kaci,katʃi
raksasa,raʔsasa
beruntus,bəruntus
serama,sərama
tepu,təpu
tergelincir,tərgəlintʃir
kedah,kədah
kemusykilan,kəmusjkilan
kecoh,ketʃoh
dirobohkan,dirobohkan
teknisi,teʔnisi
terbelalak,tərbəlalaʔ
ganggang,gaŋgaŋ
kawanan,kawanan
pusar,pusar
malapetaka,malapətaka
seperah,səpərah
penyembuh,pəɲəmbuh
capai,tʃapai
kerik,kəriʔ
meruk,məruʔ
nyaris,ɲaris
dorna,dorna
hukumnya,hukumɲa
hidayah,hidajah
mempersiapkan,məmpərsiapkan
dwibahasa,dwibahasa
kemunting,kəmuntiŋ
rajawali,radʒawali
kelibat,kəlibat
mendadak,məndadaʔ
berprasangka,bərprasaŋka
pemusnah,pəmusnah
menghanguskan,məŋhaŋuskan
paku,paku
semara,səmara
semur,səmur
mengingkari,məŋiŋkari
beranggapan,bəraŋgapan
pembayan,pəmbajan
jepretan,dʒəpretan
semesra,səməsra
vokasional,vokasional
pelintir,pəlintir
serambi,sərambi
bilingualisme,biliŋualismə
suapan,suapan
mandolin,mandolin
gabungan,gabuŋan
kumis,kumis
semurni,səmurni
kemeja,kəmedʒa
curai,tʃurai
petualangan,pətualaŋan
golok,goloʔ
elefantiasis,eləfantiasis
lupa,lupa
jatuhan,dʒatuhan
perosok,pərosoʔ
despotisme,despotismə
melesek,mələsəʔ
membentengi,məmbenteŋi
subuh,subuh
senewen,sənewən
daham,daham
jatuhlah,dʒatuhlah
keambrukan,kəambrukan
peralahan,pəralahan
lapisan,lapisan
kekawin,kəkawin
ditempuh,ditəmpuh
seganteng,səgantəŋ
alokasi,alokasi
nasibmu,nasibmu
membuntingi,məmbuntiŋi
permulaan,pərmulaʔan
kedayan,kədajan
mengedipkan,məŋədipkan
lisannya,lisanɲa
makanan,makanan
digigit,digigit
cawan,tʃawan
menyekutui,məɲəkutui
stigma,stigma
cerana,tʃərana
mendenyut,məndəɲut
abonemen,abonəmen
terjadilah,tərdʒadilah
menyekat,məɲəkat
pemidangan,pəmidaŋan
berdebur,bərdəbur
bon,bon
mendebik,məndəbiʔ
taktis,taʔtis
gambaran,gambaran
metari,mətari
metastasis,metastasis
sekeri,səkəri
menegakkan,mənəgaʔkan
cerawat,tʃərawat
kerepes,kərepes
tumbuhan,tumbuhan
hebah,hebah
penerima,pənərima
preferensi,prefərensi
olesan,olesan
nurani,nurani
berwajib,bərwadʒib
berdekat,bərdəkat
salib,salib
mencerlang,məntʃərlaŋ
apologetis,apologetis
efisien,efisien
penempelan,pənempelan
bersicengang,bərsitʃəŋaŋ
waris,waris
jangan,dʒaŋan
